serie,group,ID,original,T_low_gain,T_high_gain,quiescent_current,voltage_gain,cutoff_frequency,current_slope,T150_aging
1.0,NSMG,NSMG19,True,33.5,72.0,4.81314,27.06928506834556,612.0735397405901,8.927823373876526e-05,0.0
1.0,MAN,MAN20,True,33.0,70.1,5.690957326442003,26.952189038513986,493.470050190929,9.04963183842758e-05,0.0
1.0,DKAN,DKAN20,True,32.6,71.2,4.935035202652216,26.95752217931521,538.6463071673334,0.000105261652657,0.0
1.0,TIS,TIS37,False,34.8,86.3,4.246359999999999,27.42894710839,471.8751580956296,5.321499735589929e-05,0.0
1.0,TIS,TIS39,False,34.2,89.4,4.660240000000001,27.46492439620551,503.02005161900576,6.322654680063753e-05,0.0
1.0,TIS,TIS40,False,34.5,90.6,4.48256,27.44854829943292,473.013261871963,5.025030142781861e-05,0.0
1.0,NSS,NSS37,False,33.6,82.9,3.63408,26.189712933419155,1594.2230226962995,8.190831306187403e-05,0.0
1.0,NSS,NSS38,False,33.8,84.2,3.672200000000001,26.17528431246368,1605.9470679269389,8.173682707562341e-05,0.0
1.0,NSS,NSS40,False,34.3,83.5,3.72214,26.20081191890249,1478.512288916034,8.172719196192716e-05,0.0
1.0,UTC,UTC17,False,31.8,70.3,4.570399224758151,26.812803757195628,587.0948231321039,7.043016029375361e-05,0.0
1.0,UTC,UTC18,False,32.0,70.9,4.55829715356231,26.818777577314258,583.4709486072308,6.968414032706956e-05,0.0
1.0,UTC,UTC19,False,31.9,69.9,4.605126008391377,26.8148263502822,573.8363866629046,6.891701548763932e-05,0.0
2.0,TIS,TIS03,False,36.8,90.4,4.58248,27.54508532197436,508.0776959695822,3.0286176626127147e-05,0.0
2.0,NSMS,NSMS06,True,35.2,71.3,4.781067185103892,26.93032592830444,567.2530131251937,0.0001049660544671,0.0
2.0,NSS,NSS16,False,37.0,85.4,3.54568,26.212499809189268,1539.318705482387,8.325300898995435e-05,0.0
2.0,UTC,UTC20,False,33.5,72.5,4.58691567182541,26.819615134905007,583.7375859507548,6.958438193850349e-05,0.0
2.0,TIS,TIS04,False,36.7,92.7,4.6408000000000005,27.439593214976384,507.0249134431778,4.326771020624312e-05,0.0
2.0,NSMS,NSMS07,True,35.2,70.5,4.865977913141251,26.86834324180516,560.567993395268,0.0001034064103156,0.0
2.0,NSS,NSS17,False,36.5,83.4,3.5609,26.18629026646856,1556.179406221189,8.328346906398929e-05,0.0
2.0,UTC,UTC21,False,34.7,75.6,4.604706261307002,26.87035538131316,585.9959798010515,7.008006643565264e-05,0.0
2.0,TIS,TIS05,False,37.6,89.2,4.47776,27.359445028547565,492.9300334331298,6.969628767847992e-05,0.0
2.0,NSMS,NSMS08,True,35.5,73.5,4.72930381074548,27.014631505580592,562.0472562933827,0.0001041770592087,0.0
2.0,NSS,NSS18,False,36.6,84.8,3.60206,26.16783508825968,2336.073547501628,8.247933368588255e-05,0.0
2.0,UTC,UTC22,False,34.6,71.1,4.517332185059788,26.79356173869649,593.4840633547728,7.210632186286751e-05,0.0
3.0,TIS,TIS06,False,36.1,90.5,4.69592,27.419744886660787,485.3442064450781,2.012848228450904e-05,0.0
3.0,NSMG,NSMG14,True,32.1,73.4,4.61514,27.15605179615013,589.7030840728665,9.896638815441828e-05,0.0
3.0,NSS,NSS21,False,36.0,85.5,3.68176,26.224038469890782,2431.7940168243067,8.137337916446534e-05,0.0
3.0,UTC,UTC23,False,33.8,73.0,4.5438666827976695,26.81017819256349,588.0337054486673,6.963181782697343e-05,0.0
3.0,TIS,TIS07,False,36.2,89.0,4.58152,27.65909562197224,491.01276775363385,5.4375674246433554e-05,0.0
3.0,NSMG,NSMG15,True,35.0,71.0,4.85824,27.14537412006866,611.709566309647,8.848908514014056e-05,0.0
3.0,NSS,NSS22,False,36.7,83.9,3.6823,26.22722397614473,2535.292764530518,8.211382337387835e-05,0.0
3.0,UTC,UTC24,False,34.1,71.0,4.573640134185552,26.83972370322375,590.5450566222488,6.989534975816338e-05,0.0
3.0,TIS,TIS08,False,37.2,90.1,4.661560000000001,27.638553403338744,476.9007546571613,3.1648651507142695e-05,0.0
3.0,NSMG,NSMG16,True,35.4,72.5,4.57512,27.156976421206203,617.3128041390444,9.910820729772852e-05,0.0
3.0,NSS,NSS23,False,36.4,83.3,3.6633,26.13977565878015,2470.2867671525228,8.248830248545948e-05,0.0
3.0,UTC,UTC25,False,34.4,70.5,4.475335590541364,26.829926274908168,603.3099747238609,7.29155689793151e-05,0.0
4.0,TIS,TIS09,False,32.5,88.6,4.86608,27.655610229516363,498.90907462664194,1.4907837123219026e-05,0.0
4.0,MAN,MAN06,True,32.0,71.0,5.331475287675858,27.088047923000808,583.331980922386,8.834666980796254e-05,0.0
4.0,NSS,NSS24,False,32.4,82.8,3.66468,26.147821990143,2291.6883646049564,8.154827075621575e-05,0.0
4.0,UTC,UTC26,False,31.7,71.0,4.5740049332380295,26.82756995798104,585.2889911186721,6.87501966531725e-05,0.0
4.0,TIS,TIS10,False,34.9,90.9,4.87544,27.7331867517592,469.0389721399685,3.957165520892134e-06,0.0
4.0,MAN,MAN07,True,33.1,70.2,5.384498275816438,27.016131360022097,530.0430970725336,8.820531720375662e-05,0.0
4.0,NSS,NSS25,False,34.7,84.6,3.70766,26.32350771973845,2400.1641058809005,8.357454257007095e-05,0.0
4.0,UTC,UTC27,False,32.7,71.3,4.55040419474244,26.95558140641457,589.9998667176257,7.124281483926734e-05,0.0
4.0,TIS,TIS11,False,35.0,87.8,4.69904,27.44320278363724,511.1086418181115,5.099181385510635e-05,0.0
4.0,MAN,MAN08,True,33.7,70.5,5.379926227033137,27.05591878948517,567.0247602607176,8.82014512054418e-05,0.0
4.0,NSS,NSS26,False,34.5,80.9,3.7141,26.11001580500117,1655.5511896846394,8.203555790587213e-05,0.0
4.0,UTC,UTC28,False,32.8,70.3,4.460962768644097,26.847297670918927,603.117242438368,7.536892618123338e-05,0.0
4.0,TIS,TIS12,False,36.8,88.5,4.21656,27.641267326717745,458.33456462712456,6.211012162877056e-05,0.0
4.0,MAN,MAN09,True,33.5,71.6,5.449865572154522,27.08402998055778,560.4773052544173,8.853643306194978e-05,0.0
4.0,NSS,NSS27,False,34.7,83.2,3.65088,26.23157521181485,1917.879142727219,8.37513590692775e-05,0.0
4.0,UTC,UTC29,False,32.7,71.0,4.57021202892065,26.85744224359425,581.9467944004047,7.011435008920827e-05,0.0
4.0,TIS,TIS13,False,35.6,91.2,4.59576,27.433129040605102,487.16006070373766,6.60077630883159e-05,0.0
4.0,MAN,MAN10,True,33.7,71.2,5.347507167607547,27.075714200741,579.2604798675656,8.817751596902238e-05,0.0
4.0,NSS,NSS28,False,35.2,84.8,3.62962,26.229986787875465,1918.9281306175003,8.353844526705653e-05,0.0
4.0,UTC,UTC30,False,32.9,70.9,4.530583135783672,26.773526843384094,552.8191083686146,7.013475309638059e-05,0.0
5.0,TIS,TIS14,False,35.0,87.5,4.35276,27.50625000630575,494.084115859934,3.845861448969105e-05,0.0
5.0,DKAN,DKAN01,True,33.4,70.3,4.895358998328447,26.817602573592104,534.6552694602551,0.000104366932143,0.0
5.0,NSS,NSS29,False,34.8,83.3,3.66892,26.15749871154631,1851.340867831704,8.150027498678158e-05,0.0
5.0,UTC,UTC31,False,32.8,71.7,4.633450601249932,26.81268228099784,595.1934639109029,6.885730707254864e-05,0.0
5.0,TIS,TIS15,False,35.3,87.9,4.315080000000001,27.520844748456422,480.1703910204298,4.483824431518007e-05,0.0
5.0,DKAN,DKAN02,True,34.0,72.1,4.9693635664880285,26.995919098713053,539.0432741522144,0.0001041547990724,0.0
5.0,NSS,NSS30,False,35.5,83.8,3.6656,26.2219398038002,1887.0295842400303,8.288109994711997e-05,0.0
5.0,UTC,UTC32,False,33.0,71.6,4.62074102833867,26.835721847952232,606.6507109037647,6.97669057970445e-05,0.0
5.0,TIS,TIS16,False,35.4,90.3,4.21536,27.46537280587749,457.2544693769431,5.07215441565339e-05,0.0
5.0,DKAN,DKAN03,True,33.9,72.7,5.014571174979213,27.019640478577013,529.4760729832914,0.0001053678423426,0.0
5.0,NSS,NSS31,False,35.5,85.0,3.68844,26.151524706001773,1614.8831542327566,8.32320994182995e-05,0.0
5.0,UTC,UTC33,False,33.1,72.5,4.495626501739023,26.69293935422885,609.3055757425914,7.246566851663538e-05,0.0
5.0,TIS,TIS17,False,35.6,88.8,4.82368,27.407890655779926,495.4259419943603,1.6526303543102648e-05,0.0
5.0,DKAN,DKAN04,True,34.7,70.7,4.896875470876692,26.9539142285156,535.4112665101902,0.0001047446377701,0.0
5.0,NSS,NSS32,False,34.5,83.2,3.54832,26.18881457918729,2078.318954995808,8.391674246430655e-05,0.0
5.0,UTC,UTC34,False,33.5,72.3,4.533200431615116,26.90423977523485,584.1859035855986,7.07744605965362e-05,0.0
5.0,TIS,TIS18,False,36.2,90.7,4.4196800000000005,27.555327154858333,491.2634344593517,3.757455314648644e-05,0.0
5.0,DKAN,DKAN05,True,35.2,72.5,4.933834914118052,26.98626992433076,540.7053248904155,0.0001045199202217,0.0
5.0,NSS,NSS33,False,35.9,84.4,3.5765200000000004,26.27673270104855,1586.662676200768,8.444835536753236e-05,0.0
5.0,UTC,UTC35,False,34.2,72.7,4.587631113827229,26.850665421563708,600.165080991075,7.009554160872399e-05,0.0
6.0,RSAN,RSAN01,True,35.6,72.6,5.00750271603465,27.06982024603939,509.1569100405037,0.0001054362013703,0.0
6.0,RSAN,RSAN02,True,35.6,70.0,5.024257767945528,26.964225859165424,527.0394621013326,0.000104673770771,0.0
6.0,RSAN,RSAN03,True,36.1,72.8,4.923922289162874,27.015290901745203,527.8657777109295,0.0001053098837403,0.0
6.0,RSAN,RSAN04,True,35.0,74.3,5.126084573566914,26.983706021898406,537.1031011177532,0.00010532516403,0.0
6.0,RSAN,RSAN05,True,36.0,73.5,5.027067754417655,26.94330378813221,512.9377819634904,0.0001035418130441,0.0
6.0,RSAN,RSAN06,True,36.0,72.4,5.070027243345975,26.88982218508903,488.0274620050167,0.0001045513104712,0.0
6.0,RSAN,RSAN07,True,36.0,72.7,4.981002211570738,26.930179882382976,535.3059331917141,0.0001049537578078,0.0
6.0,RSAN,RSAN08,True,35.6,72.3,4.839555546641352,26.853191095059334,515.5418973728841,0.0001025746216961,0.0
6.0,RSAN,RSAN09,True,35.6,73.8,5.136279389262198,26.93946367058482,501.8091573817202,0.0001052006687092,0.0
6.0,RSAN,RSAN10,True,35.6,72.2,5.049233976751563,26.91971336098546,508.78406863168254,0.0001055225765402,0.0
6.0,RSAN,RSAN11,True,35.8,73.7,4.995800834149122,26.993979134495685,524.9267682341815,0.0001044236812573,0.0
6.0,RSAN,RSAN12,True,35.7,72.6,5.035295896232128,26.8826345781023,519.5311118249489,0.0001048531547771,0.0
